#,Aadash,minimal,Egu,,,,,,,
# Symmetry,A2g+B1g+Eg,Eg,A2g+B2g+Eg,,,,,,,
# Degeneracy,4,2,4,,,,,,,
S2,Aabs,Adash2abs,Adash4abs,Egabs,A2gabs,Ashifted,Adash2shifted,Adash4shifted,Egshifted,A2gshifted
-0.040,-1539.3399104249,-1539.3379795902,-1539.3394948639,-1539.3403290000,-1539.3437130000,-33.9910425,-33.7979590,-33.9494864,-34.0329000,-34.3713000
-0.035,-1539.3404850678,-1539.3387149803,-1539.3400316388,-1539.3410995000,-1539.3440919000,-34.0485068,-33.8714980,-34.0031639,-34.1099500,-34.4091900
-0.030,-1539.3409885502,-1539.3393744185,-1539.3404949344,-1539.3417943000,-1539.3443869000,-34.0988550,-33.9374419,-34.0494934,-34.1794300,-34.4386900
-0.025,-1539.3414194987,-1539.3399563237,-1539.3408832373,-1539.3424118000,-1539.3445960000,-34.1419499,-33.9956324,-34.0883237,-34.2411800,-34.4596000
-0.020,-1539.3417764243,-1539.3404589765,-1539.3411949046,-1539.3429501000,-1539.3447171000,-34.1776424,-34.0458977,-34.1194905,-34.2950100,-34.4717100
-0.015,-1539.3420576057,-1539.3408804022,-1539.3414280462,-1539.3434072000,-1539.3447476000,-34.2057606,-34.0880402,-34.1428046,-34.3407200,-34.4747600
-0.010,-1539.3422611622,-1539.3412184401,-1539.3415805963,-1539.3437810000,-1539.3446850000,-34.2261162,-34.1218440,-34.1580596,-34.3781000,-34.4685000
-0.005,-1539.3423849985,-1539.3414706878,-1539.3416502573,-1539.3440690000,-1539.3445263000,-34.2384998,-34.1470688,-34.1650257,-34.4069000,-34.4526300
0.000,-1539.3424268224,-1539.3416345154,-1539.3416345154,-1539.3442685000,-1539.3442685000,-34.2426822,-34.1634515,-34.1634515,-34.4268500,-34.4268500
0.005,-1539.3423841274,-1539.3417070470,-1539.3415306227,-1539.3443765000,-1539.3439081000,-34.2384127,-34.1707047,-34.1530623,-34.4376500,-34.3908100
0.010,-1539.3422541866,-1539.3416851519,-1539.3413355893,-1539.3443899000,-1539.3434415000,-34.2254187,-34.1685152,-34.1335589,-34.4389900,-34.3441500
0.015,-1539.3420340465,-1539.3415654370,-1539.3410461759,-1539.3443052000,-1539.3428650000,-34.2034046,-34.1565437,-34.1046176,-34.4305200,-34.2865000
0.020,-1539.3417205065,-1539.3413442236,-1539.3406588719,-1539.3441187000,-1539.3421744000,-34.1720506,-34.1344224,-34.0658872,-34.4118700,-34.2174400
0.025,-1539.3413101444,-1539.3410175718,-1539.3401699197,-1539.3438263000,-1539.3413654000,-34.1310144,-34.1017572,-34.0169920,-34.3826300,-34.1365400
0.030,-1539.3407992594,-1539.3405812220,-1539.3395752571,-1539.3434236000,-1539.3404333000,-34.0799259,-34.0581222,-33.9575257,-34.3423600,-34.0433300
0.035,-1539.3401838882,-1539.3400306098,-1539.3388705323,-1539.3429060000,-1539.3393733000,-34.0183888,-34.0030610,-33.8870532,-34.2906000,-33.9373300
0.040,-1539.3394597779,-1539.3393608388,-1539.3380510769,-1539.3422685000,-1539.3381802000,-33.9459778,-33.9360839,-33.8051077,-34.2268500,-33.8180200
