#TS d2											
delta/B	3T1g(F)	3T2g(F)	3A2g(F)	1T2g(D)	1Eg(D)	3T1g(P)	1T2g(G)	1Eg(G)	1T1g(G)	1A1g(G)	1A1g(S)
0	0	0	0	13.84	13.84	15	20.84	20.84	20.84	20.84	52.94
0.609	0.000	0.491	1.101	14.057	14.365	15.373	20.996	21.297	21.331	21.442	53.320
1.219	0.000	0.990	2.209	14.255	14.792	15.762	21.186	21.868	21.830	22.029	53.731
1.828	0.000	1.496	3.324	14.433	15.126	16.163	21.410	22.546	22.336	22.599	54.171
2.438	0.000	2.008	4.446	14.591	15.378	16.578	21.667	23.317	22.848	23.153	54.642
3.047	0.000	2.526	5.573	14.730	15.566	17.004	21.954	24.165	23.365	23.689	55.141
3.657	0.000	3.049	6.706	14.850	15.702	17.441	22.270	25.076	23.889	24.207	55.670
4.266	0.000	3.577	7.844	14.954	15.800	17.888	22.614	26.034	24.417	24.706	56.228
4.876	0.000	4.110	8.986	15.043	15.869	18.345	22.982	27.031	24.950	25.186	56.813
5.485	0.000	4.648	10.133	15.118	15.917	18.810	23.372	28.058	25.488	25.648	57.426
6.095	0.000	5.189	11.284	15.182	15.948	19.283	23.781	29.109	26.029	26.091	58.066
6.704	0.000	5.734	12.439	15.235	15.968	19.764	24.209	30.180	26.574	26.515	58.733
7.314	0.000	6.283	13.597	15.279	15.979	20.252	24.652	31.266	27.123	26.920	59.424
7.923	0.000	6.835	14.758	15.315	15.983	20.746	25.110	32.366	27.674	27.307	60.141
8.533	0.000	7.389	15.922	15.346	15.981	21.246	25.580	33.477	28.229	27.677	60.881
9.142	0.000	7.947	17.089	15.370	15.976	21.752	26.061	34.597	28.787	28.029	61.644
9.752	0.000	8.507	18.259	15.390	15.968	22.263	26.552	35.726	29.347	28.365	62.428
10.361	0.000	9.070	19.431	15.406	15.958	22.778	27.052	36.861	29.910	28.684	63.234
10.971	0.000	9.635	20.605	15.418	15.946	23.299	27.560	38.003	30.474	28.988	64.060
11.580	0.000	10.202	21.782	15.428	15.932	23.823	28.075	39.150	31.041	29.277	64.905
12.190	0.000	10.771	22.960	15.435	15.918	24.352	28.596	40.302	31.610	29.551	65.769
12.799	0.000	11.341	24.141	15.440	15.904	24.884	29.123	41.459	32.181	29.812	66.649
13.409	0.000	11.914	25.323	15.444	15.888	25.419	29.655	42.619	32.754	30.060	67.546
14.018	0.000	12.488	26.506	15.445	15.873	25.958	30.192	43.783	33.328	30.296	68.459
14.628	0.000	13.064	27.691	15.446	15.858	26.500	30.734	44.950	33.904	30.520	69.386
15.237	0.000	13.641	28.878	15.446	15.842	27.045	31.279	46.119	34.481	30.733	70.328
15.847	0.000	14.220	30.066	15.444	15.827	27.593	31.828	47.292	35.059	30.935	71.282
16.456	0.000	14.799	31.255	15.442	15.811	28.143	32.380	48.467	35.639	31.128	72.249
17.065	0.000	15.380	32.446	15.439	15.796	28.695	32.935	49.644	36.220	31.311	73.228
17.675	0.000	15.962	33.637	15.436	15.781	29.250	33.493	50.823	36.802	31.485	74.218
18.284	0.000	16.546	34.830	15.432	15.767	29.807	34.054	52.004	37.385	31.651	75.219
18.894	0.000	17.130	36.024	15.428	15.752	30.366	34.617	53.187	37.969	31.809	76.229
19.503	0.000	17.715	37.218	15.424	15.738	30.926	35.182	54.371	38.555	31.960	77.249
20.113	0.000	18.301	38.414	15.419	15.724	31.489	35.749	55.557	39.141	32.104	78.277
20.722	0.000	18.888	39.610	15.414	15.711	32.053	36.318	56.744	39.728	32.241	79.314
21.332	0.000	19.476	40.807	15.409	15.697	32.619	36.889	57.933	40.315	32.371	80.359
21.941	0.000	20.064	42.005	15.404	15.684	33.187	37.462	59.123	40.904	32.496	81.411
22.551	0.000	20.653	43.204	15.399	15.672	33.756	38.036	60.314	41.493	32.616	82.470
23.160	0.000	21.243	44.403	15.394	15.659	34.326	38.612	61.506	42.083	32.730	83.535
23.770	0.000	21.834	45.604	15.388	15.647	34.898	39.189	62.700	42.674	32.839	84.607
24.379	0.000	22.425	46.804	15.383	15.636	35.471	39.767	63.894	43.265	32.943	85.685
24.989	0.000	23.017	48.006	15.378	15.624	36.045	40.347	65.089	43.857	33.044	86.769
25.598	0.000	23.609	49.207	15.372	15.613	36.620	40.927	66.285	44.449	33.139	87.858
26.208	0.000	24.202	50.410	15.367	15.602	37.197	41.509	67.482	45.042	33.231	88.952
26.817	0.000	24.796	51.613	15.361	15.591	37.774	42.092	68.679	45.635	33.320	90.050
